date,h
1941-10-03 07:00:00,125.0
1941-11-04 07:00:00,136.0
1941-12-22 07:00:00,153.0
1942-01-29 07:00:00,285.0
1942-02-02 07:00:00,271.0
1942-03-09 07:00:00,345.0
1942-04-01 00:01:00,187.0
1942-05-04 07:00:00,105.0
1942-06-18 07:00:00,111.0
1942-07-06 07:00:00,117.0
1942-08-11 07:00:00,92.0
1942-09-14 07:00:00,101.0
1942-10-31 23:59:00,140.0
1942-11-03 07:00:00,181.0
1942-12-23 07:00:00,141.0
1943-01-17 07:00:00,369.0
1943-02-18 07:00:00,189.0
1943-03-01 07:00:00,141.0
1943-04-04 07:00:00,99.0
1943-05-08 07:00:00,235.0
1943-06-07 07:00:00,99.0
1943-07-01 07:00:00,89.0
1943-08-21 07:00:00,95.0
1943-09-23 07:00:00,85.0
1943-10-24 07:00:00,95.0
1943-11-29 07:00:00,105.0
1943-12-06 07:00:00,145.0
1944-01-29 07:00:00,153.0
1944-02-13 07:00:00,228.0
1944-03-19 07:00:00,139.0
1944-04-07 07:00:00,105.0
1944-05-08 07:00:00,97.0
1944-06-18 07:00:00,91.0
1944-07-11 07:00:00,95.0
1944-08-29 07:00:00,113.0
1944-09-07 07:00:00,105.0
1944-10-28 07:00:00,139.0
1944-11-30 23:59:00,524.0
1944-12-04 07:00:00,603.0
1945-01-10 07:00:00,231.0
1945-02-16 07:00:00,685.0
1945-03-01 00:01:00,246.0
1945-04-01 07:00:00,121.0
1945-05-11 07:00:00,101.0
1945-06-22 07:00:00,99.0
1945-07-10 07:00:00,105.0
1945-08-27 07:00:00,100.0
1945-09-27 07:00:00,99.0
1945-10-03 07:00:00,101.0
1945-11-12 07:00:00,94.0
1945-12-31 07:00:00,131.0
1946-01-17 07:00:00,135.0
1946-02-13 07:00:00,247.0
1946-03-08 07:00:00,225.0
1946-04-29 07:00:00,113.0
1946-05-18 07:00:00,119.0
1946-06-30 23:59:00,139.0
1946-07-01 07:00:00,148.0
1946-08-04 07:00:00,111.0
1946-09-03 07:00:00,109.0
1946-10-27 07:00:00,105.0
1946-11-18 07:00:00,91.0
1946-12-23 07:00:00,118.0
1947-01-18 07:00:00,153.0
1947-02-24 07:00:00,141.0
1947-03-24 07:00:00,289.0
1947-04-06 07:00:00,249.0
1947-05-31 07:00:00,99.0
1947-06-30 07:00:00,118.0
1947-07-16 07:00:00,111.0
1947-08-03 07:00:00,109.0
1947-09-23 07:00:00,97.0
1947-10-22 07:00:00,99.0
1947-11-15 07:00:00,93.0
1947-12-31 23:59:00,193.0
1948-01-10 07:00:00,395.0
1948-02-11 07:00:00,280.0
1948-03-01 07:00:00,141.0
1948-04-09 07:00:00,133.0
1948-05-02 07:00:00,109.0
1948-06-14 07:00:00,111.0
1948-07-19 07:00:00,120.0
1948-08-22 07:00:00,137.0
1948-09-13 07:00:00,141.0
1948-10-26 07:00:00,117.0
1948-11-20 07:00:00,142.0
1948-12-17 07:00:00,117.0
1949-01-18 07:00:00,163.0
1949-02-14 07:00:00,121.0
1949-03-22 07:00:00,115.0
1949-04-25 07:00:00,115.0
1949-05-17 07:00:00,113.0
1949-06-30 23:59:00,116.0
1949-07-19 07:00:00,118.0
1949-08-06 07:00:00,105.0
1949-09-24 07:00:00,119.0
1949-10-10 07:00:00,117.0
1949-11-24 07:00:00,120.0
1949-12-24 07:00:00,141.0
1950-01-09 07:00:00,125.0
1950-02-19 07:00:00,223.0
1950-03-01 00:01:00,195.0
1950-04-28 07:00:00,157.0
1950-05-02 07:00:00,156.0
1950-06-01 07:00:00,115.0
1950-07-05 07:00:00,115.0
1950-08-01 07:00:00,108.0
1950-09-03 07:00:00,125.0
1950-10-16 07:00:00,115.0
1950-11-20 07:00:00,155.0
1950-12-14 07:00:00,237.0
1951-01-21 07:00:00,245.0
1951-02-23 07:00:00,216.0
1951-03-30 07:00:00,220.0
1951-04-13 07:00:00,271.0
1951-05-02 07:00:00,133.0
1951-06-29 07:00:00,229.0
1951-07-01 07:00:00,231.0
1951-08-30 07:00:00,115.0
1951-09-17 07:00:00,109.0
1951-10-06 07:00:00,105.0
1951-11-25 07:00:00,173.0
1951-12-02 07:00:00,162.0
1952-01-23 07:00:00,349.0
1952-02-17 07:00:00,387.0
1952-03-31 23:59:00,357.0
1952-04-05 07:00:00,379.0
1952-05-26 07:00:00,131.0
1952-06-27 07:00:00,113.0
1952-07-14 07:00:00,105.0
1952-08-14 07:00:00,115.0
1952-09-14 07:00:00,115.0
1952-10-27 07:00:00,137.0
1952-11-30 17:00:00,316.0
1952-12-31 07:00:00,459.0
1953-01-01 00:01:00,448.0
1953-02-15 07:00:00,263.0
1953-03-02 07:00:00,183.0
1953-04-11 07:00:00,113.0
1953-05-27 07:00:00,119.0
1953-06-24 07:00:00,119.0
1953-07-07 07:00:00,117.0
1953-08-01 00:01:00,104.0
1953-09-14 07:00:00,113.0
1953-10-19 07:00:00,111.0
1953-11-05 07:00:00,109.0
1953-12-30 07:00:00,102.0
1954-01-19 07:00:00,121.0
1954-02-04 07:00:00,139.0
1954-03-07 07:00:00,147.0
1954-04-04 07:00:00,153.0
1954-05-26 07:00:00,121.0
1954-06-09 07:00:00,97.0
1954-07-31 07:00:00,94.0
1954-08-26 07:00:00,105.0
1954-09-02 07:00:00,101.0
1954-10-09 07:00:00,113.0
1954-11-30 23:59:00,113.0
